Source,Target,Weight,Type
Drake_Care,Drake_If,6,undirected
Drake_Care,Drake_More,1,undirected
Drake_Care,Drake_Nothing,3,undirected
Drake_Care,Drake_Scorpion,2,undirected
Drake_Care,Drake_Take,4,undirected
Drake_Care,Drake_Thank,1,undirected
Drake_Care,Drake_Views,3,undirected
Drake_Care,Quentin_Falco,2,undirected
Drake_Certified,Drake_Room,1,undirected
Drake_Certified,Drake_Scary,2,undirected
Drake_Certified,Drake_Scorpion,3,undirected
Drake_Certified,Drake_Views,2,undirected
Drake_Comeback,Drake_Drake,2,undirected
Drake_Comeback,Drake_Room,6,undirected
Drake_Comeback,Drake_Scorpion,1,undirected
Drake_Comeback,Drake_So1,3,undirected
Drake_Comeback,Drake_The,2,undirected
Drake_Comeback,Quentin_Essentials,,3,undirected
Drake_Comeback,Quentin_Gunmetal,1,undirected
Drake_Comeback,Quentin_Hey!,2,undirected
Drake_Comeback,Quentin_No(thanks),3,undirected
Drake_Comeback,Quentin_Unreleased,3,undirected
Drake_Dark,Drake_If,3,undirected
Drake_Dark,Drake_Scorpion,3,undirected
Drake_Dark,Drake_The,1,undirected
Drake_Dark,Drake_Views,1,undirected
Drake_Dark,Quentin_Hey!1,1,undirected
Drake_Dark,Quentin_Qm,3,undirected
Drake_Dark,Quentin_Xx,3,undirected
Drake_Drake,Drake_Comeback,2,undirected
Drake_Drake,Drake_Room,3,undirected
Drake_Drake,Quentin_Hey!,1,undirected
Drake_If,Drake_Care,6,undirected
Drake_If,Drake_Dark,3,undirected
Drake_If,Drake_Scorpion,2,undirected
Drake_If,Quentin_Essentials,,2,undirected
Drake_If,Quentin_Falco,1,undirected
Drake_If,Quentin_Gunmetal,3,undirected
Drake_If,Quentin_Na,3,undirected
Drake_More,Drake_Care,1,undirected
Drake_More,Drake_Scorpion,2,undirected
Drake_More,Drake_Views,6,undirected
Drake_Nothing,Drake_Care,3,undirected
Drake_Nothing,Drake_Scorpion,1,undirected
Drake_Nothing,Drake_Thank,2,undirected
Drake_Nothing,Quentin_Weekends,2,undirected
Drake_Room,Drake_Certified,1,undirected
Drake_Room,Drake_Comeback,6,undirected
Drake_Room,Drake_Drake,3,undirected
Drake_Room,Drake_So,1,undirected
Drake_Room,Drake_So1,1,undirected
Drake_Room,Drake_Thank,2,undirected
Drake_Room,Drake_The,3,undirected
Drake_Room,Quentin_Hey!,3,undirected
Drake_Room,Quentin_Qm,1,undirected
Drake_Scary,Drake_Certified,2,undirected
Drake_Scary,Drake_Scorpion,3,undirected
Drake_Scary,Quentin_Qm,1,undirected
Drake_Scary,Quentin_Shredded,1,undirected
Drake_Scorpion,Drake_Care,2,undirected
Drake_Scorpion,Drake_Certified,3,undirected
Drake_Scorpion,Drake_Comeback,1,undirected
Drake_Scorpion,Drake_Dark,3,undirected
Drake_Scorpion,Drake_If,2,undirected
Drake_Scorpion,Drake_More,2,undirected
Drake_Scorpion,Drake_Nothing,1,undirected
Drake_Scorpion,Drake_Scary,3,undirected
Drake_Scorpion,Drake_So,2,undirected
Drake_Scorpion,Drake_So1,2,undirected
Drake_Scorpion,Drake_Take,1,undirected
Drake_Scorpion,Drake_Thank,5,undirected
Drake_Scorpion,Drake_Views,2,undirected
Drake_Scorpion,Quentin_Na,1,undirected
Drake_Scorpion,Quentin_No(thanks),1,undirected
Drake_Scorpion,Quentin_Qm,2,undirected
Drake_Scorpion,Quentin_Weekends,1,undirected
Drake_Scorpion,Quentin_Xx,1,undirected
Drake_So,Drake_Room,1,undirected
Drake_So,Drake_Scorpion,2,undirected
Drake_So,Drake_So1,6,undirected
Drake_So1,Drake_Comeback,3,undirected
Drake_So1,Drake_Room,1,undirected
Drake_So1,Drake_Scorpion,2,undirected
Drake_So1,Drake_So,6,undirected
Drake_So1,Quentin_Unreleased,2,undirected
Drake_Take,Drake_Care,4,undirected
Drake_Take,Drake_Scorpion,1,undirected
Drake_Take,Drake_Thank,6,undirected
Drake_Take,Quentin_Weekends,3,undirected
Drake_Thank,Drake_Care,1,undirected
Drake_Thank,Drake_Nothing,2,undirected
Drake_Thank,Drake_Room,2,undirected
Drake_Thank,Drake_Scorpion,5,undirected
Drake_Thank,Drake_Take,6,undirected
Drake_The,Drake_Comeback,2,undirected
Drake_The,Drake_Dark,1,undirected
Drake_The,Drake_Room,3,undirected
Drake_Views,Drake_Care,3,undirected
Drake_Views,Drake_Certified,2,undirected
Drake_Views,Drake_Dark,1,undirected
Drake_Views,Drake_More,6,undirected
Drake_Views,Drake_Scorpion,2,undirected
Drake_Views,Quentin_Xx,2,undirected
Quentin_Essentials,,Drake_Comeback,3,undirected
Quentin_Essentials,,Drake_If,2,undirected
Quentin_Essentials,,Quentin_Gunmetal,2,undirected
Quentin_Essentials,,Quentin_Hey!1,3,undirected
Quentin_Essentials,,Quentin_No(thanks),2,undirected
Quentin_Essentials,,Quentin_Qm,1,undirected
Quentin_Essentials,,Quentin_Shredded,2,undirected
Quentin_Falco,Drake_Care,2,undirected
Quentin_Falco,Drake_If,1,undirected
Quentin_Falco,Quentin_Na,5,undirected
Quentin_Gunmetal,Drake_Comeback,1,undirected
Quentin_Gunmetal,Drake_If,3,undirected
Quentin_Gunmetal,Quentin_Essentials,,2,undirected
Quentin_Hey!,Drake_Comeback,2,undirected
Quentin_Hey!,Drake_Drake,1,undirected
Quentin_Hey!,Drake_Room,3,undirected
Quentin_Hey!,Quentin_Qm,1,undirected
Quentin_Hey!1,Drake_Dark,1,undirected
Quentin_Hey!1,Quentin_Essentials,,3,undirected
Quentin_Hey!1,Quentin_Qm,2,undirected
Quentin_Na,Drake_If,3,undirected
Quentin_Na,Drake_Scorpion,1,undirected
Quentin_Na,Quentin_Falco,5,undirected
Quentin_No(thanks),Drake_Comeback,3,undirected
Quentin_No(thanks),Drake_Scorpion,1,undirected
Quentin_No(thanks),Quentin_Essentials,,2,undirected
Quentin_Qm,Drake_Dark,3,undirected
Quentin_Qm,Drake_Room,1,undirected
Quentin_Qm,Drake_Scary,1,undirected
Quentin_Qm,Drake_Scorpion,2,undirected
Quentin_Qm,Quentin_Essentials,,1,undirected
Quentin_Qm,Quentin_Hey!,1,undirected
Quentin_Qm,Quentin_Hey!1,2,undirected
Quentin_Qm,Quentin_Shredded,3,undirected
Quentin_Qm,Quentin_Unreleased,1,undirected
Quentin_Shredded,Drake_Scary,1,undirected
Quentin_Shredded,Quentin_Essentials,,2,undirected
Quentin_Shredded,Quentin_Qm,3,undirected
Quentin_Unreleased,Drake_Comeback,3,undirected
Quentin_Unreleased,Drake_So1,2,undirected
Quentin_Unreleased,Quentin_Qm,1,undirected
